name,address,n_transfers
,0xfaafdc07907ff5120a76b34b731b278c38d6043c,1115796
rarible_v1,0xd07dc4262bcdbf85190c01c996b4c06a461d2430,186022
,0x2b1870752208935fda32ab6a016c01a27877cf12,150680
,0xc36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c,102240
,0xc7e5e9434f4a71e6db978bd65b4d61d3593e5f27,42538
,0xe4605d46fd0b3f8329d936a8b258d69276cba264,35295
,0x2af75676692817d85121353f0d6e8e9ae6ad5576,29041
,0xdb68df0e86bc7c6176e6a2255a5365f51113bce8,16345
,0xa58b5224e2fd94020cb2837231b2b0e4247301a6,12864
,0xd193a22224795c43d837a3f3d7394b4d0cc15f60,12760
,0x93ea6ec350ace7473f7694d43dec2726a515e31a,9155
,0x7cdc0421469398e0f3aa8890693d86c840ac8931,8270
rarible_v1,0x44d6e8933f8271abcf253c72f9ed7e0e4c0323b3,8219
gnosis_sight,0xc59b0e4de5f1248c1140964e0ff287b192407e0c,6026
,0x6d696d6982d2332f44358d9673c14a33780ea531,6005
,0xd0e4847359ae76c2786d242e5f45c4f6f1abd752,5411
,0xe54891774eed9277236bac10d82788aee0aed313,5188
,0xcb6768a968440187157cfe13b67cac82ef6cc5a4,4978
,0x067a1eb5e383ed24b66d72aaf80d8d7db3d299a8,4420
,0xe8bd225aab19cd3cc0e98bd510e4b2fab91247a4,4124
augur_v2,0x9e4799ff2023819b1272eee430eadf510edf85f0,4032
rarible_v1,0x9d34c91d03809bc012768d8c608e862c0c985b81,3678
,0xe3782b8688ad2b0d5ba42842d400f7adf310f88d,3581
,0xb85070695a7599e3f6a8d46e8bd716d1923769b8,3175
,0x2e734269c869bda3ea6550f510d2514f2d66de71,2630
,0x618dc60c5cae3b42a3983f4c870bdf57a8037186,2270
,0x89ee76cc25fcbf1714ed575faa6a10202b71c26a,2128
,0x495f947276749ce646f68ac8c248420045cb7b5e,2115
,0x3b9a790dfc910447d6557001f96b997c1efb01f8,1987
,0x818737eec8a5350756da40d5ddafda8a84ade107,1840
,0xd14ce4a3251c648e948337e908030d5a835a7c85,1805
,0xdf003a97fa6b3a14bd8c2ed4c331a9187e127ad2,1653
